year,round_num,round_label,date,home,home_score,away,away_score,venue,url,home_win,score_diff,total_points
2024,8,Round 8,2024-04-25 09:50:00+00:00,Storm,54,Rabbitohs,20,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2024/round-8/storm-v-rabbitohs/,1,34,74
2024,8,Round 8,2024-04-26 10:00:00+00:00,Sea Eagles,32,Eels,18,4 Pines Park,https://www.nrl.com/draw/nrl-premiership/2024/round-8/sea-eagles-v-eels/,1,14,50
2024,8,Round 8,2024-04-27 07:30:00+00:00,Wests Tigers,10,Broncos,34,Campbelltown Sports Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-8/wests-tigers-v-broncos/,0,-24,44
2024,8,Round 8,2024-04-27 09:35:00+00:00,Cowboys,20,Panthers,26,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-8/cowboys-v-panthers/,0,-6,46
2024,8,Round 8,2024-04-28 04:00:00+00:00,Dolphins,14,Knights,18,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-8/dolphins-v-knights/,0,-4,32
2024,8,Round 8,2024-04-28 06:05:00+00:00,Raiders,0,Sharks,40,GIO Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-8/raiders-v-sharks/,0,-40,40
2024,9,Round 9,2024-05-02 09:50:00+00:00,Rabbitohs,12,Panthers,42,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-9/rabbitohs-v-panthers/,0,-30,54
2024,9,Round 9,2024-05-03 08:00:00+00:00,Sea Eagles,24,Raiders,26,4 Pines Park,https://www.nrl.com/draw/nrl-premiership/2024/round-9/sea-eagles-v-raiders/,0,-2,50
2024,9,Round 9,2024-05-03 10:00:00+00:00,Broncos,18,Roosters,40,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-9/broncos-v-roosters/,0,-22,58
2024,9,Round 9,2024-05-04 05:00:00+00:00,Bulldogs,22,Wests Tigers,14,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-9/bulldogs-v-wests-tigers/,1,8,36
2024,9,Round 9,2024-05-04 07:30:00+00:00,Titans,20,Storm,22,Cbus Super Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-9/titans-v-storm/,0,-2,42
2024,9,Round 9,2024-05-04 09:35:00+00:00,Cowboys,26,Dolphins,28,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-9/cowboys-v-dolphins/,0,-2,54
2024,9,Round 9,2024-05-05 04:00:00+00:00,Knights,14,Warriors,8,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-9/knights-v-warriors/,1,6,22
2024,9,Round 9,2024-05-05 06:05:00+00:00,Sharks,20,Dragons,10,PointsBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-9/sharks-v-dragons/,1,10,30
